ALA,0.2074,0.4453
ALP,0.4504,0.3520
AMA,0.3541,0.3907
BUT,0.2815,0.2667
CAL,0.3644,0.4067
COL,0.2356,0.2987
CC,0.2222,0.4253
DN,0.0222,0.0333
ED,0.3526,0.3480
FRE,0.4489,0.5560
GLE,0.2178,0.2667
HUM,0.0237,0.1307
IMP,0.8593,0.9733
INY,0.6044,0.5507
KER,0.5230,0.7000
KIN,0.4637,0.6000
LAK,0.1467,0.3160
LAS,0.3659,0.1707
LA,0.5985,0.8387
MAD,0.4237,0.5347
MRN,0.1822,0.4267
MPA,0.4326,0.4800
MEN,0.1185,0.3040
MER,0.3807,0.4987
MOD,0.3778,0.0600
MNO,0.5037,0.4000
MON,0.2667,0.5613
NAP,0.2074,0.3893
NEV,0.3319,0.2960
ORA,0.6356,0.8707
PLA,0.3244,0.3307
PLU,0.3393,0.2227
RIV,0.6800,0.8493
SAC,0.2874,0.3760
SBT,0.2933,0.5467
SBE,0.6889,0.8320
SD,0.7022,0.9773
SF,0.1926,0.4467
SJ,0.2993,0.4280
SLO,0.3659,0.7107
SM,0.2133,0.4800
SBA,0.4563,0.7987
SCL,0.2430,0.4933
SCZ,0.2311,0.5307
SHA,0.1956,0.1533
SIE,0.3496,0.2627
SIS,0.1733,0.0320
SOL,0.2296,0.3987
SON,0.1630,0.3787
STA,0.3304,0.4627
SUT,0.2667,0.3053
TEH,0.2119,0.1973
TRI,0.1452,0.1387
TUL,0.4963,0.5987
TUO,0.3911,0.4267
VEN,0.2563,0.3533
YOL,0.2785,0.3040
YUB,0.2785,0.3053
