675,750
ALA,140,334
ALP,304,264
AMA,239,293
BUT,190,200
CAL,246,305
COL,159,224
CC,150,319
DN,15,25
ED,238,261
FRE,303,417
GLE,147,200
HUM,16,98
IMP,580,730
INY,408,413
KER,353,525
KIN,313,450
LAK,99,237
LAS,247,128
LA,404,629
MAD,286,401
MRN,123,320
MPA,292,360
MEN,80,228
MER,257,374
MOD,255,45
MNO,340,300
MON,180,421
NAP,140,292
NEV,224,222
ORA,429,653
PLA,219,248
PLU,229,167
RIV,459,637
SAC,194,282
SBT,198,410
SBE,465,624
SD,474,733
SF,130,335
SJ,202,321
SLO,247,533
SM,144,360
SBA,308,599
SCL,164,370
SCZ,156,398
SHA,132,115
SIE,236,197
SIS,117,24
SOL,155,299
SON,110,284
STA,223,347
SUT,180,229
TEH,143,148
TRI,98,104
TUL,335,449
TUO,264,320
VEN,173,265
YOL,188,228
YUB,188,229
